YEAR,MO,DY,ALLSKY_SFC_SW_DWN
2000,12,1,191.9
2000,12,2,176.3
2000,12,3,160.1
2000,12,4,175.2
2000,12,5,202.8
2000,12,6,192.8
2000,12,7,178.2
2000,12,8,181.5
2000,12,9,172.1
2000,12,10,189.2
2000,12,11,188.3
2000,12,12,201.8
2000,12,13,196.5
2000,12,14,189.3
2000,12,15,202.9
2000,12,16,208
2000,12,17,198.3
2000,12,18,200.4
2000,12,19,206.1
2000,12,20,177.3
2000,12,21,178.4
2000,12,22,207.8
2000,12,23,168.6
2000,12,24,201.5
2000,12,25,203.2
2000,12,26,198.1
2000,12,27,203.4
2000,12,28,192.2
2000,12,29,186.1
2000,12,30,197.2
2000,12,31,190.1
2001,1,1,207.06
2001,1,2,214.74
2001,1,3,218.91
2001,1,4,215.99
2001,1,5,215.12
2001,1,6,209.64
2001,1,7,214.34
2001,1,8,200.42
2001,1,9,173.2
2001,1,10,189.03
2001,1,11,176.59
2001,1,12,180.15
2001,1,13,193.09
2001,1,14,144.45
2001,1,15,133.19
2001,1,16,225.28
2001,1,17,228.82
2001,1,18,229.3
2001,1,19,200.59
2001,1,20,199.05
2001,1,21,169.16
2001,1,22,189.54
2001,1,23,185.6
2001,1,24,196.83
2001,1,25,190.76
2001,1,26,215.03
2001,1,27,193.9
2001,1,28,128.41
2001,1,29,123.34
2001,1,30,217.26
2001,1,31,216.43
2001,2,1,200.95
2001,2,2,207.88
2001,2,3,210.2
2001,2,4,206.16
2001,2,5,222.2
2001,2,6,194.52
2001,2,7,192.06
2001,2,8,206.24
2001,2,9,205.09
2001,2,10,208.5
2001,2,11,249.52
2001,2,12,253.53
2001,2,13,255.15
2001,2,14,260.7
2001,2,15,254.38
2001,2,16,215.33
2001,2,17,247.08
2001,2,18,243.74
2001,2,19,234.5
2001,2,20,227.8
2001,2,21,203.85
2001,2,22,191.95
2001,2,23,201.05
2001,2,24,225.05
2001,2,25,229.62
2001,2,26,229.91
2001,2,27,220.79
2001,2,28,225.12
2001,3,1,250.81
2001,3,2,256.69
2001,3,3,240.16
2001,3,4,234.15
2001,3,5,235.08
2001,3,6,225.7
2001,3,7,215.21
2001,3,8,165.36
2001,3,9,92.73
